id,symbol,name
742,LOO,合庫金選擇權
743,LP1,神隆期貨
744,LPF,神隆期貨
745,LQ,英業達(股票期貨)
746,LQF,英業達期貨
747,LR,開發金(股票期貨)
748,LRF,開發金期貨
749,LSF,正達期貨
750,LT,遠傳(股票期貨)
751,LTF,遠傳期貨
752,LU,臻鼎-KY(股票期貨)
753,LU1,臻鼎-KY期貨
754,LUF,臻鼎-KY期貨
755,LV,中租-KY(股票期貨)
756,LV1,中租-KY期貨
757,LVF,中租-KY期貨
758,LW,儒鴻(股票期貨)
759,LW1,儒鴻期貨
760,LWF,儒鴻期貨
761,LX,國巨(股票期貨)
762,LX1,國巨期貨
763,LXF,國巨期貨
764,LY,南電(股票期貨)
765,LYF,南電期貨
766,LZF,可寧衛期貨
767,MA,葡萄王(股票期貨)
768,MAF,葡萄王期貨
769,MB,敬鵬(股票期貨)
770,MBF,敬鵬期貨
771,MCF,隆達期貨
772,MD1,瑞智期貨
773,MDF,瑞智期貨
774,ME1,誠美材期貨
775,MEF,誠美材期貨
776,MF1,力鵬期貨
777,MFF,力鵬期貨
778,MGF,年興期貨
779,MH1,勤美期貨
780,MHF,勤美期貨
781,MIF,橋椿期貨
782,MJ,致茂(股票期貨)
783,MJF,致茂期貨
784,MK,美律(股票期貨)
785,MK1,美律期貨
786,MKF,美律期貨
787,ML1,晶睿期貨
788,MLF,晶睿期貨
789,MM1,承業醫期貨
790,MMF,承業醫期貨
791,MN1,三星期貨
792,MNF,三星期貨
793,MO1,飛捷期貨
794,MOF,飛捷期貨
795,MP,精誠(股票期貨)
796,MPF,精誠期貨
797,MQ,矽格(股票期貨)
798,MQ1,矽格期貨
799,MQF,矽格期貨
800,MRF,南六期貨
801,MSF,摩臺期
802,MSO,摩臺選
803,MTX,小型臺指期貨
804,MUF,帝寶期貨
805,MV,百和(股票期貨)
806,MVF,百和期貨
807,MWF,亞太電期貨
808,MX1,小型臺指W1
809,MX2,小型臺指W2
810,MX4,小型臺指W4
811,MX5,小型臺指W5
812,MXF,小型臺指
813,MY,精華(股票期貨)
814,MYF,精華期貨
815,MZF,光洋科期貨
816,NA,穩懋(股票期貨)
817,NA1,穩懋期貨
818,NAF,穩懋期貨
819,NB,璟德(股票期貨)
820,NBF,璟德期貨
821,NC,順達(股票期貨)
822,NCF,順達期貨
823,ND,威剛(股票期貨)
